File name,NAMESPACE,JCA API,Category,Vulnerable?
aamra.korbo.joy-a,javax.crypto.spec,IvParameterSpec,interprocedural 1,yes
aamra.korbo.joy-a,javax.crypto.spec,SecretKeySpec,interprocedural 1,yes
aamra.korbo.joy-a,javax.crypto,Cipher,basic,cbc without padding
abalone.nepo.app-ahj,javax.crypto,Cipher,basic,cbc
abalone.nepo.app-ahj,javax.crypto.spec,SecretKeySpec,interprocedural 1,yes
abalone.nepo.app-ahj,javax.crypto.spec,SecretKeySpec,interprocedural 1,yes
abalone.nepo.app-ahj,javax.crypto.spec,IvParameterSpec,basic,yes
abalone.nepo.app-yy,javax.crypto,Cipher,path_sensitive,no
abalone.nepo.app-zb,javax.crypto,KeyPairGenerator,path_sensitive,no
abalone.nepo.app-zc,javax.crypto,Mac,path_sensitive,no
abalone.nepo.app-zd,javax.crypto,MessageDigest,path_sensitive,no
abalone.nepo.app-ze,javax.crypto,Signature,path_sensitive,no
abbb.parkpolucecar.nofalsenewapp-yy,javax.crypto,Cipher,path_sensitive,no
abbb.parkpolucecar.nofalsenewapp-yz,javax.crypto,KeyAgreement,interprocedural,no
abbb.parkpolucecar.nofalsenewapp-za,javax.crypto,Cipher,interprocedural,no
aboard.and.magichangul-o,javax.crypto.spec,SecretKeySpec,interprocedural 1,no
aboard.and.magichangul-o,javax.crypto,Cipher,basic,cbc
aboard.and.magichangul-o,javax.crypto.spec,IvParameterSpec,basic,yes
academy.marius.leontiuc-a,javax.crypto.spec,IvParameterSpec,interprocedural 1,no
academy.marius.leontiuc-a,javax.crypto.spec,SecretKeySpec,interprocedural 1,yes
academy.marius.leontiuc-a,javax.crypto,Cipher,basic,cbc
ajt274.psovdxoieon274.kgjvbqpsss274-Ohzylmnvkajcbrdxw,javax.crypto.spec,SecretKeySpec,interprocedural 1,yes
ajt274.psovdxoieon274.kgjvbqpsss274-Ohzylmnvkajcbrdxw,javax.crypto,Cipher,basic,yes 
akubisakerja.ujian.apps-a,javax.crypto.spec,IvParameterSpec,interprocedural 1,no
akubisakerja.ujian.apps-a,javax.crypto.spec,SecretKeySpec,interprocedural 1,yes
akubisakerja.ujian.apps-a,javax.crypto,Cipher,basic,cbc
all.air.ts-a,javax.crypto.spec,IvParameterSpec,interprocedural 1,yes
all.air.ts-a,javax.crypto.spec,SecretKeySpec,interprocedural 1,yes
all.air.ts-a,javax.crypto,Cipher,basic,cbc
all.networks.pk-a,javax.crypto.spec,IvParameterSpec,interprocedural 1,yes
all.networks.pk-a,javax.crypto.spec,SecretKeySpec,interprocedural 1,no
all.networks.pk-a,javax.crypto,Cipher,basic,cbc
analogclocklivewallpaper.analogclock-c,javax.crypto,MessageDigest,field sensitive,yes
analogclocklivewallpaper.analogclock-n,javax.crypto.spec,SecretKeySpec,interprocedural 1,no
analogclocklivewallpaper.analogclock-n,javax.crypto,Cipher,basic,cbc
analogclocklivewallpaper.analogclock-n,javax.crypto.spec,IvParameterSpec,basic,conditional
apk.slotonline.heru-a,javax.crypto.spec,IvParameterSpec,interprocedural 1,no
apk.slotonline.heru-a,javax.crypto.spec,SecretKeySpec,interprocedural 1,no
apk.slotonline.heru-a,javax.crypto,Cipher,basic,cbc
app.carilo.com-a,javax.crypto.spec,IvParameterSpec,interprocedural 1,no
app.carilo.com-a,javax.crypto.spec,SecretKeySpec,interprocedural 1,no
app.carilo.com-a,javax.crypto,Cipher,basic,cbc
app.chat.ficom-a,javax.crypto.spec,IvParameterSpec,interprocedural 1,yes
app.chat.ficom-a,javax.crypto.spec,SecretKeySpec,interprocedural 1,no
app.chat.ficom-a,javax.crypto,Cipher,basic,cbc
app.chat.first1-a,javax.crypto.spec,IvParameterSpec,interprocedural 1,yes
app.chat.first1-a,javax.crypto.spec,SecretKeySpec,interprocedural 1,yes
app.chat.first1-a,javax.crypto,Cipher,basic,cbc
app.mivzaklive.news-a,javax.crypto.spec,IvParameterSpec,interprocedural 1,no
app.mivzaklive.news-a,javax.crypto.spec,SecretKeySpec,interprocedural 1,no
app.mivzaklive.news-a,javax.crypto,Cipher,basic,cbc
app.net.blueworldcosmetics-a,javax.crypto.spec,IvParameterSpec,interprocedural 1,yes
app.net.blueworldcosmetics-a,javax.crypto.spec,SecretKeySpec,interprocedural 1,yes
app.net.blueworldcosmetics-a,javax.crypto,Cipher,basic,cbc
app.ng.katlego-a,javax.crypto.spec,IvParameterSpec,interprocedural 1,no
app.ng.katlego-a,javax.crypto.spec,SecretKeySpec,interprocedural 1,no
app.ng.katlego-a,javax.crypto,Cipher,basic,cbc
app.remesas.vzla-a,javax.crypto.spec,IvParameterSpec,interprocedural 1,no
app.remesas.vzla-a,javax.crypto.spec,SecretKeySpec,interprocedural 1,no
app.remesas.vzla-a,javax.crypto,Cipher,basic,cbc
app.restaurantenaweb.delivery-a,javax.crypto.spec,IvParameterSpec,interprocedural 1,yes
app.restaurantenaweb.delivery-a,javax.crypto.spec,SecretKeySpec,interprocedural 1,no
app.restaurantenaweb.delivery-a,javax.crypto,Cipher,basic,cbc
app.s.jagoanssh_com-a,javax.crypto.spec,IvParameterSpec,interprocedural 1,no
app.s.jagoanssh_com-a,javax.crypto.spec,SecretKeySpec,interprocedural 1,
app.s.jagoanssh_com-a,javax.crypto,Cipher,basic,cbc
app.s.jagoanssh_com-a,javax.crypto,Cipher,basic,cbc
area.client.daxportugal-a,javax.crypto.spec,IvParameterSpec,interprocedural 1,yes
area.client.daxportugal-a,javax.crypto.spec,SecretKeySpec,interprocedural 1,yes
area.client.daxportugal-a,javax.crypto,Cipher,basic,cbc
