 INFO | 2025-05-20 21:29:32.953 | Interface.ArgumentsCheck (ArgumentsCheck.java:148) | Displaying info level logs
 INFO | 2025-05-20 21:29:33.020 | Interface.ArgumentsCheck (ArgumentsCheck.java:176) | Using the output: Default
 INFO | 2025-05-20 21:29:33.024 | parameterChecks.Core (Core.java:145) | Scanning 1 source file(s).
 INFO | 2025-05-20 21:29:33.035 | routing.EnvironmentInformation (EnvironmentInformation.java:376) | Building the Package Root Dir based on type
 INFO | 2025-05-20 21:29:33.037 | routing.EnvironmentInformation (EnvironmentInformation.java:410) | Building the Root Directory
 INFO | 2025-05-20 21:29:33.042 | Interface.SubRunner (SubRunner.java:57) | Starting the scanning process
 INFO | 2025-05-20 21:29:33.046 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: InsecureAssymCryptoFinder
 INFO | 2025-05-20 21:29:35.942 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: BrokenCryptoFinder
 INFO | 2025-05-20 21:29:36.175 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: UntrustedPrngFinder
 INFO | 2025-05-20 21:29:36.237 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: SSLSocketFactoryFinder
 INFO | 2025-05-20 21:29:36.355 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: CustomTrustManagerFinder
 INFO | 2025-05-20 21:29:36.363 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: HostNameVerifierFinder
 INFO | 2025-05-20 21:29:36.370 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: BrokenHashFinder
 INFO | 2025-05-20 21:29:36.473 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: ConstantKeyFinder
 INFO | 2025-05-20 21:29:36.658 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: PredictableIVFinder
 INFO | 2025-05-20 21:29:36.757 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: PBESaltFinder
 INFO | 2025-05-20 21:29:36.811 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: PBEInterationCountFinder
 INFO | 2025-05-20 21:29:36.869 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: PredictableSeedFinder
 INFO | 2025-05-20 21:29:36.916 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: PredictableKeyStorePasswordFinder
 INFO | 2025-05-20 21:29:36.970 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: HttpUrlFinder
 INFO | 2025-05-20 21:29:37.309 | Interface.SubRunner (SubRunner.java:59) | Stopped the scanning process
 INFO | 2025-05-20 21:29:37.310 | block.Default (Default.java:68) | Marshalling the Report from the Env. Info.
 INFO | 2025-05-20 21:29:37.339 | Interface.SubRunner (SubRunner.java:62) | Writing the output to the file: /Users/ehsan/Desktop/CryptoStudy/_CryptoGuard-04.06.00_br_fb06a3d7-5ff8-4da9-89ab-d754e087e790_.json
/Users/ehsan/Desktop/CryptoStudy/_CryptoGuard-04.06.00_br_fb06a3d7-5ff8-4da9-89ab-d754e087e790_.json
