 INFO | 2025-05-20 21:35:32.565 | Interface.ArgumentsCheck (ArgumentsCheck.java:148) | Displaying info level logs
 INFO | 2025-05-20 21:35:32.628 | Interface.ArgumentsCheck (ArgumentsCheck.java:176) | Using the output: Default
 INFO | 2025-05-20 21:35:32.633 | parameterChecks.Core (Core.java:145) | Scanning 1 source file(s).
 INFO | 2025-05-20 21:35:32.644 | routing.EnvironmentInformation (EnvironmentInformation.java:376) | Building the Package Root Dir based on type
 INFO | 2025-05-20 21:35:32.645 | routing.EnvironmentInformation (EnvironmentInformation.java:410) | Building the Root Directory
 INFO | 2025-05-20 21:35:32.650 | Interface.SubRunner (SubRunner.java:57) | Starting the scanning process
 INFO | 2025-05-20 21:35:32.654 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: InsecureAssymCryptoFinder
 INFO | 2025-05-20 21:35:36.827 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: BrokenCryptoFinder
 INFO | 2025-05-20 21:35:37.419 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: UntrustedPrngFinder
 INFO | 2025-05-20 21:35:37.559 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: SSLSocketFactoryFinder
 INFO | 2025-05-20 21:35:37.831 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: CustomTrustManagerFinder
 INFO | 2025-05-20 21:35:37.852 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: HostNameVerifierFinder
 INFO | 2025-05-20 21:35:37.862 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: BrokenHashFinder
 INFO | 2025-05-20 21:35:38.142 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: ConstantKeyFinder
 INFO | 2025-05-20 21:35:38.414 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: PredictableIVFinder
 INFO | 2025-05-20 21:35:38.458 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: PBESaltFinder
 INFO | 2025-05-20 21:35:38.519 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: PBEInterationCountFinder
 INFO | 2025-05-20 21:35:38.581 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: PredictableSeedFinder
 INFO | 2025-05-20 21:35:38.631 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: PredictableKeyStorePasswordFinder
 INFO | 2025-05-20 21:35:38.690 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: HttpUrlFinder
 INFO | 2025-05-20 21:35:39.504 | Interface.SubRunner (SubRunner.java:59) | Stopped the scanning process
 INFO | 2025-05-20 21:35:39.506 | block.Default (Default.java:68) | Marshalling the Report from the Env. Info.
 INFO | 2025-05-20 21:35:39.535 | Interface.SubRunner (SubRunner.java:62) | Writing the output to the file: /Users/ehsan/Desktop/CryptoStudy/_CryptoGuard-04.06.00_com_b2389607-2455-4887-b171-d34b3ff5288d_.json
/Users/ehsan/Desktop/CryptoStudy/_CryptoGuard-04.06.00_com_b2389607-2455-4887-b171-d34b3ff5288d_.json
