 INFO | 2025-08-17 22:28:52.380 | Interface.ArgumentsCheck (ArgumentsCheck.java:148) | Displaying info level logs
 INFO | 2025-08-17 22:28:52.461 | Interface.ArgumentsCheck (ArgumentsCheck.java:176) | Using the output: Default
 INFO | 2025-08-17 22:28:52.466 | parameterChecks.Core (Core.java:145) | Scanning 1 source file(s).
 INFO | 2025-08-17 22:28:52.481 | routing.EnvironmentInformation (EnvironmentInformation.java:376) | Building the Package Root Dir based on type
 INFO | 2025-08-17 22:28:52.483 | routing.EnvironmentInformation (EnvironmentInformation.java:410) | Building the Root Directory
 INFO | 2025-08-17 22:28:52.490 | Interface.SubRunner (SubRunner.java:57) | Starting the scanning process
 INFO | 2025-08-17 22:28:52.494 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: InsecureAssymCryptoFinder
 INFO | 2025-08-17 22:29:01.351 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: BrokenCryptoFinder
 INFO | 2025-08-17 22:29:01.716 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: UntrustedPrngFinder
 INFO | 2025-08-17 22:29:01.981 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: SSLSocketFactoryFinder
 INFO | 2025-08-17 22:29:02.505 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: CustomTrustManagerFinder
 INFO | 2025-08-17 22:29:02.536 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: HostNameVerifierFinder
 INFO | 2025-08-17 22:29:02.548 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: BrokenHashFinder
 INFO | 2025-08-17 22:29:03.533 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: ConstantKeyFinder
 INFO | 2025-08-17 22:29:04.269 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: PredictableIVFinder
 INFO | 2025-08-17 22:29:04.932 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: PBESaltFinder
 INFO | 2025-08-17 22:29:05.007 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: PBEInterationCountFinder
 INFO | 2025-08-17 22:29:05.093 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: PredictableSeedFinder
 INFO | 2025-08-17 22:29:05.153 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: PredictableKeyStorePasswordFinder
 INFO | 2025-08-17 22:29:05.364 | engine.ApkEntry (ApkEntry.java:24) | Checking the rule: HttpUrlFinder
 INFO | 2025-08-17 22:29:05.961 | Interface.SubRunner (SubRunner.java:59) | Stopped the scanning process
 INFO | 2025-08-17 22:29:05.965 | block.Default (Default.java:68) | Marshalling the Report from the Env. Info.
 INFO | 2025-08-17 22:29:06.010 | Interface.SubRunner (SubRunner.java:62) | Writing the output to the file: /Users/ehsan/Desktop/CryptoGuard200/_CryptoGuard-04.06.00_com_9e0ed00b-06ea-4f13-b684-6612796ac645_.json
/Users/ehsan/Desktop/CryptoGuard200/_CryptoGuard-04.06.00_com_9e0ed00b-06ea-4f13-b684-6612796ac645_.json
